DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Eastchester,1962,125922.16,27090.53,37.68333333333334,70.87416666666664,21.545380300007338,1.2415902140672783,5.375342465753425
Elmhurst,15227,661264.64,117550.03,26.433333333333334,49.74499999999998,16.187367649691144,1.3706573849083865,41.71780821917808
Elmhurst/Maspeth,6517,271780.86,46682.38,24.483333333333334,47.87333333333331,15.619010430927545,1.3860672088384225,17.854794520547944
Eltingville/Annadale/Prince's Bay,233,33413.51,6851.7,56.85,87.91333333333333,31.603823028406982,1.4291845493562232,0.6383561643835617
Erasmus,5549,306627.55,57806.98,36.21666666666667,61.98666666666665,16.348667972102653,1.2649125968642998,15.202739726027398
Far Rockaway,4916,247618.72,52269.71,24.825,88.38749999999999,21.75982274628923,1.2874288039056143,13.468493150684932
Financial District North,221932,7369169.41,1074053.47,16.983333333333334,43.516666666666666,12.784556378970558,1.3938323450426258,608.0328767123287
Financial District South,115873,3907737.44,588626.72,17.333333333333332,38.46666666666667,14.746016437834163,1.4641806115315905,317.46027397260275
Flatbush/Ditmas Park,23243,1444179.5,268661.06,35.68333333333333,61.3,19.009671825879945,1.2969496192402012,63.679452054794524
Flatiron,428582,9719703.24,955984.96,10.016666666666667,31.0,9.235428023346158,1.371191510609405,1174.1972602739727
Flatlands,7130,396368.56,80664.88,31.666666666666668,74.24249999999999,21.137032632278252,1.3014025245441796,19.534246575342465
Flushing,13284,705380.73,134999.48,28.083333333333332,55.25666666666657,21.42502128848041,1.405149051490515,36.394520547945206
Flushing Meadows-Corona Park,10273,539605.17,98681.99,23.716666666666665,62.25666666666666,23.323896357167953,1.4128297478827996,28.145205479452056
Fordham South,1730,93639.33,18769.98,31.516666666666666,68.63333333333334,18.24748008172874,1.2953757225433526,4.739726027397261
Forest Hills,31596,1548352.75,269594.79,26.566666666666666,49.733333333333334,19.290027667306113,1.341942017976959,86.56438356164384
Forest Park/Highland Park,871,41030.659999999996,7769.79,25.45,56.66666666666667,20.078378880055215,1.2881745120551091,2.3863013698630136
Fort Greene,37134,1655856.38,263461.34,26.066666666666666,56.7,12.927170065222823,1.3212419884741746,101.73698630136987
Fresh Meadows,3212,173585.92,34823.03,28.233333333333334,53.35583333333332,22.834060093317255,1.356164383561644,8.8
Freshkills Park,29,2864.93,627.0699999999999,49.28333333333333,90.00666666666666,25.060038792883514,1.0344827586206897,0.07945205479452055
Garment District,429290,10356835.04,949207.28,12.866666666666667,36.13333333333333,6.761359540877292,1.4430757762817676,1176.13698630137
Glen Oaks,2328,132389.04,28391.07,25.6,64.18333333333337,27.493909946813535,1.3470790378006874,6.3780821917808215
Glendale,4738,224157.58,40248.69,27.833333333333332,51.8958333333333,18.08992434564417,1.3493035035880119,12.98082191780822
Governor's Island/Ellis Island/Liberty Island,17,686.06,112.27,38.65,83.22333333333331,8.496595348288634,1.0,0.04657534246575343
Gowanus,8998,476264.79,79317.33,28.9,60.82416666666665,14.42845078734042,1.3189597688375194,24.65205479452055
Gramercy,600732,13179402.33,1274703.33,10.35,27.616666666666667,9.187108857210358,1.3579915836013396,1645.841095890411
Gravesend,2070,133733.18,30740.12,35.666666666666664,77.15833333333333,25.029935750274447,1.3096618357487924,5.671232876712328
Great Kills,317,40402.05,8152.8,55.78333333333333,111.50999999999999,27.446008038097762,1.416403785488959,0.8684931506849315
Great Kills Park,2,228.67,57.25,160.13333333333333,190.25333333333333,10.857053110897198,1.0,0.005479452054794521
Green-Wood Cemetery,252,15659.0,2794.67,29.958333333333336,57.0225,18.789935686719364,1.3174603174603174,0.6904109589041096
Greenpoint,59120,2645237.55,406853.3,23.283333333333335,48.11666666666667,14.173485326368114,1.333897158322057,161.97260273972603
Greenwich Village North,400207,9218254.89,905842.99,11.183333333333334,31.416666666666668,8.901054884893426,1.3598013028257876,1096.4575342465753
Greenwich Village South,301402,7027700.67,698683.63,12.0,31.0,8.682291654411852,1.4159395093595928,825.758904109589
Grymes Hill/Clifton,323,33627.3,6891.63,41.333333333333336,69.30333333333331,30.934020610987698,1.368421052631579,0.8849315068493151
Hamilton Heights,65631,2349796.98,379043.59,18.833333333333332,43.775,14.673587385433043,1.335466471636879,179.81095890410958
Hammels/Arverne,2966,176943.01,37436.01,33.766666666666666,91.17500000000001,20.487408349725595,1.2420768712070127,8.126027397260273
Heartland Village/Todt Hill,655,72088.4,14372.96,44.03333333333333,71.23166666666667,29.742563952207753,1.4045801526717556,1.7945205479452055
Highbridge,5353,245629.87,46551.12,26.583333333333332,64.30666666666666,16.331863465621428,1.367831122734915,14.665753424657535
Highbridge Park,1336,61956.27,11748.09,23.09166666666667,59.295833333333334,19.2999323810066,1.3652694610778444,3.66027397260274
Hillcrest/Pomonok,5183,236076.05,44835.04,25.4,53.291666666666636,19.514631276795438,1.2961605247925911,14.2
Hollis,2166,94048.51,18358.53,24.941666666666666,61.19166666666666,17.842263998765766,1.3051708217913205,5.934246575342466
